memoryKey,userKey,type,category,importance,accessCount,hasExpiry,hasMetadata,hasSourceSignal,hasConversationLink,hasConflictFlag,hasArchivedFlag,consentState,sensitivityTier,provenanceState,retentionState,disposition,closureState,nextAction,consumerPolicy
01567440bd02131890e2d35c,875833987e2b62cb7ddbfe82,FACT,test_score,0.8643711008592626,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
858b18af750568a0f6bb31aa,0454f0a72b2c094e6d6d7f71,FACT,essay,0.7904000550408616,9,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b2739d5df1e5a56ca4e4eeb1,c0678f660ded4d9238e9eb1c,FACT,test_score,0.8149864279342178,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
c4061334c209bc9be6eaa3bc,66ab1cb9a2a8f0fd73bdd381,FACT,test_score,0.8150845255244679,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
55308a46d2b21138428b5587,839e342bc77197b9adf45bd3,FACT,test_score,0.8149823946854096,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
954906be459bc205f37e3972,0454f0a72b2c094e6d6d7f71,DECISION,swipe_prediction,0.7408712384159115,0,false,true,true,false,false,false,missing_preference_row,medium,source_linked,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
ea980bf9e2242a284e322b5b,0454f0a72b2c094e6d6d7f71,FACT,profile_analysis,0.6915001914561355,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b60e1117c9c799aff553099f,0454f0a72b2c094e6d6d7f71,FACT,profile_analysis,0.7905667965938508,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
e114b44940b5ff47776f47ee,e0df4f05f68bba19999ff49e,FACT,test_score,0.8149856768150919,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
97160f45afa51d11ca1370d4,0454f0a72b2c094e6d6d7f71,DECISION,school_prediction,0.8574626226936714,9,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b10a67194b1586bd0346a1f3,e0df4f05f68bba19999ff49e,FACT,test_score,0.8643787481827119,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
aaa3acdd512fb928fd3f51a9,875833987e2b62cb7ddbfe82,FACT,test_score,0.8643711008516822,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
f008fe1b82d41afddac70cac,0454f0a72b2c094e6d6d7f71,FEEDBACK,improvement,0.544472184489768,0,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
a7c1c6154be2c6c91f8e304e,e0df4f05f68bba19999ff49e,FACT,test_score,0.8643787481827119,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
20784d930e83e5bfa9c49364,407e7bc15345684ec7a464be,FACT,test_score,0.8149848102346019,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
