schoolId,schoolName,usNewsRank,applicationYear,promptCount,criticalPromptCount,recommendedAction,reviewDisposition,topCandidateType,topCandidateUrl,promptIds
cmnwr8itr003qz0tihoo9onta,Penn State University,67,2026,5,5,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.psu.edu/admissions,cmorxarrf00ef8vvhvsjwgkfm|cmorxarrk00en8vvhwuexhjul|cmorworf300dznoojgcp0pmop|cmorxarri00ej8vvhkz9tnqgo|cmorxarrc00ed8vvh8k35p6dd
cmnwr8ipx001wz0timhlbfii2,University of Vermont,125,2026,5,5,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.uvm.edu/admissions,cmor8j72s00jb1jbwcft7uzrw|cmorxq61a00jzeiz6nufxqrv8|cmorxq61600jxeiz6wpkzh1zf|cmor8j72w00jd1jbwwxnb6vi3|cmorxf3eq00jr8vvhec16hyaz
cmn1htkno000bvqf209819ok4,Columbia University,12,2026,4,4,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.columbia.edu/admissions,cmorxejeq004teiz6kcrpb0qa|cmorx3q9b005j8vvh1dfhyo8c|cmorwj2s60045nooj1zqs5fun|cmor81hdr00571jbw5w2wux1l
cmn1htkqj001dvqf2n8mczcpn,Wake Forest University,47,2026,4,4,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.wfu.edu/admissions,cmorx8q4p00c98vvhyfxrljg7|cmorxiqen00bveiz69o03rbk6|cmorxiqep00bxeiz67d3gp1ab|cmorx8q4u00cb8vvh1qtot8nd
cmnwr8ilx0001z0tilru6b1th,William & Mary,58,2026,4,4,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.wm.edu/admissions,cmorwo0da00cfnoojoxgamkub|cmorwo0d600cdnoojvcdg0qkp|cmorw3nbg00clrazuruyo7d2h|cmorwcmcq00d944lk7bgg0q90
cmnwr8ipm001sz0tixvcr2p30,Oregon State University,125,2026,4,4,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://oregonstate.edu/admissions,cmorxf7aw00jv8vvhw16abjns|cmorwusbw00j9noojj2304bn7|cmor8jhnx00jh1jbwl0aso224|cmorxpyi700jpeiz6pb66p83w
cmn1htkn60002vqf2r731l78m,Harvard University,3,2026,3,3,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.harvard.edu/admissions,cmorvt1hu001frazu5d4jt3si|cmorx0f2e00238vvhcwq9qt2k|cmorx0f27001z8vvhxxglup6b
cmnwr8iut0044z0tie7749l79,Swarthmore College,3,2026,3,3,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.swarthmore.edu/admissions,cmorx0jjv00258vvh5t13thl2|cmorx0jjw00278vvhepuvd03b|cmorx0jjx00298vvha4gi8zqp
cmnwr8iuv0045z0tiq1lprcv8,Pomona College,4,2026,3,3,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.pomona.edu/admissions,cmorx16fk002x8vvhf40jxaoo|cmorx16fo00318vvhskinpw33|cmorx16fn002z8vvh8ry8tjp1
cmnwr8ivz004rz0tik286u7ol,Savannah College of Art and Design,6,2026,3,3,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.scad.edu/admissions,cmor7yomh002j1jbwhgwqzlho|cmor7yome002h1jbw92qdcfha|cmor7yomk002l1jbwsvz2v6gl
