schoolId,schoolName,assetId,gap,action,severity,disposition,closureState,nextAction,consumerPolicy,route
cmnwr8iwa004xz0tiygic7c6r,New England Conservatory,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwa004xz0tiygic7c6r/media
cmnwr8isf0035z0tixudqprxr,New Mexico State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8isf0035z0tixudqprxr/media
cmn1htkp9000yvqf29pcl812t,New York University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkp9000yvqf29pcl812t/media
cmnwr8io20018z0tizk1tsitd,North Carolina State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8io20018z0tizk1tsitd/media
cmnwr8is3002yz0ti9qk8f21x,North Dakota State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8is3002yz0ti9qk8f21x/media
cmnwr8im30004z0tip77mx1gm,Northeastern University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8im30004z0tip77mx1gm/media
cmnwr8isl0038z0ti3vw64w98,Northern Illinois University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8isl0038z0ti3vw64w98/media
cmn1htknm000avqf2g8h3sbdp,Northwestern University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htknm000avqf2g8h3sbdp/media
cmn1htkq00017vqf245v5dk2j,Ohio State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkq00017vqf245v5dk2j/media
cmnwr8iqy002ez0tizit8vwvw,Ohio University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqy002ez0tizit8vwvw/media
cmnwr8ise0034z0tiwz772kaw,Oklahoma State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ise0034z0tiwz772kaw/media
cmnwr8itg003kz0tikwvhzllw,Old Dominion University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8itg003kz0tikwvhzllw/media
cmnwr8iwl0052z0ti9adsxk6l,Olin College of Engineering,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwl0052z0ti9adsxk6l/media
cmnwr8ipm001sz0tixvcr2p30,Oregon State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ipm001sz0tixvcr2p30/media
cmnwr8itr003qz0tihoo9onta,Penn State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8itr003qz0tihoo9onta/media
cmnwr8imx000lz0tiez2ik9eg,Pennsylvania State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8imx000lz0tiez2ik9eg/media
cmnwr8imn000fz0ti5zassqtj,Pepperdine University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8imn000fz0ti5zassqtj/media
cmnwr8iuv0045z0tiq1lprcv8,Pomona College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iuv0045z0tiq1lprcv8/media
